LR_Training_5fold_piT5
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.666349
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.691095
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.726333
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.9 , minDCF = 0.777060
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.210898
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.212116
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.211870
[K_Fold] λ = 0.000127 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.212224
[K_Fold] λ = 0.000298 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.216202
[K_Fold] λ = 0.000695 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.225622
[K_Fold] λ = 0.001624 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.242135
[K_Fold] λ = 0.003793 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.254393
[K_Fold] λ = 0.008859 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.258911
[K_Fold] λ = 0.020691 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.261701
[K_Fold] λ = 0.048329 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.268685
[K_Fold] λ = 0.112884 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.273449
[K_Fold] λ = 0.263665 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.276887
[K_Fold] λ = 0.615848 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.280001
[K_Fold] λ = 1.438450 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.281112
[K_Fold] λ = 3.359818 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.276563
[K_Fold] λ = 7.847600 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.285630
[K_Fold] λ = 18.329807 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.296436
[K_Fold] λ = 42.813324 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.312594
[K_Fold] λ = 100.000000 , pi_t = 0.1 , prior = 0.1 , minDCF = 0.367357
LR_Gauss_5fold_piT1
[K_Fold] λ = 0.000010 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.128153
[K_Fold] λ = 0.000023 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.127814
[K_Fold] λ = 0.000055 , pi_t = 0.1 , prior = 0.5 , minDCF = 0.127444
